s,bf,category
0.8,5.972086225665075,H1
0.81,5.931234580724118,H1
0.8200000000000001,5.8905487502889455,H1
0.8300000000000001,5.850048145102381,H1
0.8400000000000001,5.809750395089205,H1
0.85,5.769671481951945,H1
0.86,5.729825862008638,H1
0.87,5.690226580003909,H1
0.88,5.65088537456962,H1
0.89,5.611812775960136,H1
0.9,5.573018196639895,H1
0.91,5.534510015257035,H1
0.92,5.496295654496219,H1
0.93,5.458381653266218,H1
0.9400000000000001,5.420773733643143,H1
0.9500000000000001,5.383476862958123,H1
0.9600000000000001,5.346495311388623,H1
0.97,5.3098327053853,H1
0.98,5.273492077241018,H1
0.99,5.237475911085469,H1
1,5.201786185567265,H1
1.01,5.166424413465645,H1
1.02,5.131391678455662,H1
1.03,5.096688669233808,H1
1.04,5.062315711195555,H1
1.05,5.028272795841891,H1
1.06,4.994559608078742,H1
1.07,4.961175551560897,H1
1.08,4.9281197722208505,H1
1.09,4.895391180112506,H1
1.1,4.8629884696901335,H1
1.11,4.830910138634053,H1
1.12,4.799154505326367,H1
1.1300000000000001,4.767719725072469,H1
1.1400000000000001,4.736603805157076,H1
1.1500000000000001,4.705804618817059,H1
1.1600000000000001,4.6753199182073955,H1
1.17,4.645147346431018,H1
1.18,4.615284448698235,H1
1.19,4.58572868267669,H1
1.2,4.556477428088439,H1
1.21,4.527527995606666,H1
1.22,4.498877635100852,H1
1.23,4.470523543275712,H1
1.24,4.442462870745997,H1
1.25,4.414692728586323,H1
1.26,4.3872101943923845,H1
1.27,4.360012317887373,H1
1.28,4.333096126105089,H1
1.29,4.3064586281789285,H1
1.3,4.280096819764049,H1
1.31,4.254007687117964,H1
1.32,4.2281882108631725,H1
1.33,4.202635369453763,H1
1.34,4.177346142366395,H1
1.35,4.152317513034693,H1
1.36,4.1275464715447665,H1
1.37,4.103030017108355,H1
1.3800000000000001,4.078765160328953,H1
1.3900000000000001,4.054748925275283,H1
1.4000000000000001,4.0309783513754,H1
1.4100000000000001,4.0074504951439405,H1
1.42,3.9841624317540507,H1
1.43,3.9611112564648545,H1
1.44,3.9382940859145164,H1
1.45,3.915708059288312,H1
1.46,3.8933503393704743,H1
1.47,3.871218113487984,H1
1.48,3.849308594353965,H1
1.49,3.82761902081775,H1
1.5,3.806146658528311,H1
1.51,3.78488880051722,H1
1.52,3.763842767706921,H1
1.53,3.743005909349723,H1
1.54,3.7223756034025364,H1
1.55,3.7019492568420578,H1
1.56,3.6817243059247806,H1
1.57,3.661698216395931,H1
1.58,3.6418684836511437,H1
1.59,3.622232632854442,H1
1.6,3.602788219015846,H1
1.61,3.583532827031719,H1
1.62,3.5644640716907454,H1
1.6300000000000001,3.545579597648234,H1
1.6400000000000001,3.526877079371287,H1
1.6500000000000001,3.5083542210571674,H1
1.6600000000000001,3.490008756527077,H1
1.6700000000000002,3.471838449097379,H1
1.68,3.4538410914301796,H1
1.69,3.4360145053650553,H1
1.7,3.418356541733574,H1
1.71,3.4008650801581695,H1
1.72,3.3835380288368033,H1
1.73,3.3663733243147584,H1
1.74,3.3493689312448276,H1
1.75,3.33252284213705,H1
1.76,3.3158330770990845,H1
1.77,3.2992976835682373,H1
1.78,3.2829147360360786,H1
1.79,3.266682335766519,H1
1.8,3.2505986105081743,H1
1.81,3.234661714201753,H1
1.82,3.2188698266831857,H1
1.83,3.203221153383142,H1
1.84,3.1877139250235356,H1
1.85,3.1723463973115913,H1
1.86,3.1571168506319722,H1
1.87,3.142023589737471,H1
1.8800000000000001,3.1270649434386977,H1
1.8900000000000001,3.1122392642931738,H1
1.9000000000000001,3.0975449282942273,H1
1.9100000000000001,3.0829803345600215,H1
1.9200000000000002,3.0685439050230516,H1
1.93,3.0542340841204068,H1
1.94,3.040049338485069,H1
1.95,3.0259881566384976,H1
1.96,3.0120490486847404,H1
1.97,2.9982305460062637,insensitive
1.98,2.984531200961716,insensitive
1.99,2.970949586585789,insensitive
2,2.9574842962913266,insensitive
2.01,2.944133943573852,insensitive
2.02,2.930897161718616,insensitive
2.03,2.9177726035103095,insensitive
2.04,2.9047589409455243,insensitive
2.05,2.8918548649480758,insensitive
2.0599999999999996,2.8790590850872544,insensitive
2.07,2.8663703292991,insensitive
