report_id,study_id,study_id_clean,result_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,quality_tool,quality_rating,page_source,extractor,checker,notes,author_key,year_online,study_key,study_label,events_raw,n_assessed_raw,timepoint_months_raw,events_intervention_raw,events_control_raw,n_control_raw
21,LIN_001,LIN_2026,LIN_2026__proportion__competitive_employment__12m,Lin,2026,Asia-Pacific,Asia,Cohort,Outpatient,FES,DSM-IV,474,65.6,28.6,7.9,18,12,proportion,employment,Competitive employment,Full- or part-time employment at 12-month follow-up,point,119,280,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.42000000000000004,NA,NA,,EPHPP,Weak,p.3 Figure 1,YN,HZ,,LIN,2026,LIN_2026,Lin 2026,119,280,12,NA,NA,NA
22,MAJOR_001,MAJOR_2010,MAJOR_2010__proportion__competitive_employment__12m,Major,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,114,62.3,24,4.6,12,12,proportion,employment,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,period,29,114,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.254,NA,NA,,EPHPP,Strong,p.5 Table 2,YN,HZ,,MAJOR,2010,MAJOR_2010,Major 2010,29,114,12,NA,NA,NA
23,MAJOR_002,MAJOR_2010,MAJOR_2010__trial_binary__competitive_employment__12m,Major,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,114,62.3,24,4.6,12,12,trial_binary,employment,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,period,NA,NA,16,44,13,70,VIBE (Specialist vocational intervention),TAU (EIS without VIBE),NA,NA,,NA,NA,NA,,NA,NA,NA,RR,1.96,1.04,3.68,,EPHPP,Strong,"p.6 Table 4, Results",YN,HZ,,MAJOR,2010,MAJOR_2010,Major 2010,NA,NA,12,16,13,70
24,NUECHTERLEIN_001,NUECHTERLEIN_2020,NUECHTERLEIN_2020__proportion__competitive_employment__18m,Nuechterlein,2020,USA,North America,RCT,Outpatient,FES,SCID,69,67,24.6,4,18,18,proportion,employment,Competitive employment,Competitive employment during at least part of the 7_18 month period,period,30,51,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.588,NA,NA,,EPHPP,Strong,p.8 Figure 4,YN,HZ,,NUECHTERLEIN,2020,NUECHTERLEIN_2020,Nuechterlein 2020,30,51,18,NA,NA,NA
25,NUECHTERLEIN_002,NUECHTERLEIN_2020,NUECHTERLEIN_2020__trial_binary__competitive_employment__18m,Nuechterlein,2020,USA,North America,RCT,Outpatient,FES,SCID,69,67,24.6,4,18,18,trial_binary,employment,Competitive employment,Competitive employment during at least part of the 7_18 month period,period,NA,NA,25,36,5,15,IPS + WFM,BVR + social skills training,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,2.08,NA,NA,0.02,EPHPP,Strong,p.8 Figure 4,YN,HZ,"Competitive employment during months 7 to 18, available case (36 of 41 and 15 of 22 with outcome data); randomised 46 vs 23",NUECHTERLEIN,2020,NUECHTERLEIN_2020,Nuechterlein 2020,NA,NA,18,25,5,15
26,POTHIER_001,POTHIER_2019,POTHIER_2019__proportion__competitive_employment__6m,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,proportion,employment,Competitive employment,Full-time competitive occupation at 6-month follow-up,point,11,27,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.40700000000000003,NA,NA,,EPHPP,Moderate,p.4 Results,YN,HZ,,POTHIER,2019,POTHIER_2019,Pothier 2019,11,27,6,NA,NA,NA
27,RINALDI_001,RINALDI_2004,RINALDI_2004__proportion__open_employment__12m,Rinaldi,2004,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,40,72,21,NA,12,12,proportion,employment,Open employment,Competitive open employment at 12-month follow-up,point,9,22,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.40900000000000003,NA,NA,,EPHPP,Weak,p.3 Table 2,YN,HZ,,RINALDI,2004,RINALDI_2004,Rinaldi 2004,9,22,12,NA,NA,NA
28,RINALDI_001,RINALDI_2010,RINALDI_2010__proportion__open_employment__12m,Rinaldi,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,166,69,22,3.24,24,12,proportion,employment,Open employment,Competitive open employment at 12-month follow-up,point,62,142,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.43700000000000006,NA,NA,,EPHPP,Weak,p.5 Table II,YN,HZ,,RINALDI,2010,RINALDI_2010,Rinaldi 2010,62,142,12,NA,NA,NA
29,ROSENHECK_001,ROSENHECK_2017,ROSENHECK_2017__proportion__any_participation_in_work__12m,Rosenheck,2017,USA,North America,Cohort,Outpatient,FEP,Clinical diagnosis,404,72,23,NA,24,12,proportion,employment,Any participation in work,Any paid employment at 12-month follow-up,point,64,282,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.227,NA,NA,,EPHPP,Strong,p.6 Table 1,YN,HZ,,ROSENHECK,2017,ROSENHECK_2017,Rosenheck 2017,64,282,12,NA,NA,NA
30,ROSENHECK_002,ROSENHECK_2017,ROSENHECK_2017__trial_binary__any_participation_in_work__24m,Rosenheck,2017,USA,North America,Cohort,Outpatient,FEP,Clinical diagnosis,404,72,23,NA,24,24,trial_binary,employment,Any participation in work,Any paid employment at 24-month follow-up,point,NA,NA,30,144,21,83,NAVIGATE,Community Care,NA,NA,,NA,NA,NA,,NA,NA,NA,RR,0.8200000000000001,NA,NA,,EPHPP,Strong,"Table 1, p.4 Results",YN,HZ,,ROSENHECK,2017,ROSENHECK_2017,Rosenheck 2017,NA,NA,24,30,21,83
31,TAPFUMANEYI_001,TAPFUMANEYI_2015,TAPFUMANEYI_2015__proportion__paid_employment__12m,Tapfumaneyi,2015,UK,Europe,Cohort,Outpatient,FEP,ICD-10,1013,65.3,23.3,4.84,12,12,proportion,employment,Paid employment,Engaged in paid work (full or part-time) at any point during the 1-year follow-up period,period,211,1013,NA,NA,NA,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,proportion,0.20800000000000002,NA,NA,,EPHPP,Moderate,p.4 Results,YN,HZ,,TAPFUMANEYI,2014,TAPFUMANEYI_2014,Tapfumaneyi 2015,211,1013,12,NA,NA,NA
