study_id,author,year,country,region,design,setting,diagnosis,diagnostic_tool,n_total,pct_male,mean_age,sd_age,follow_up_months,timepoint_months,effect_type,outcome_domain,outcome_measure,outcome_definition,outcome_basis,events,n_assessed,page_source,events_intervention,n_intervention,events_control,n_control,intervention_name,comparator,r,n_r,group1_label,mean1,sd1,n1,group2_label,mean2,sd2,n2,reported_es_type,reported_es,reported_ci_low,reported_ci_high,reported_p,reported_source,corrected_es,corrected_ci_low,corrected_ci_high,corrected_source,derived_RR,derived_es,derived_ci_low,derived_ci_high,pct_schizophrenia,pct_schizoaffective,pct_bipolar,pct_psychotic_depression,pct_other,diagnostic_source,illness_duration_mean,illness_duration_source,quality_tool,quality_rating_Selection Bias,quality_rating_Study Design,quality_rating_Confounders,quality_rating_Data Collection Methods,quality_rating_Withdrawals and Dropouts,quality_rating_Analyses (appropriateness),quality_rating,extractor,checker,notes
MAJOR_001,Major,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,114,62.3,24,4.6,12,0_12,proportion,employment,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,period,29,114,p.5 Table 2; Results,,,,,,,,,,,,,,,,,proportion,0.254,,,,,,,,,,,,,58,5,18,5,14,p.3 Measures£»p.4 Table 1,86 days,p.4 Table 1,EPHPP,Strong,Moderate,Moderate,Strong,Strong,Yes,Strong,YN,HZ,
MAJOR_002,Major,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,114,62.3,24,4.6,12,0_12,trial_binary,employment,Competitive employment,Gained or returned to competitive employment at any point during the 12-month follow-up period,period,,,,16,44,13,70,VIBE£¨Specialist vocational intervention£©,TAU£¨EIS without VIBE£©,,,,,,,,,,,/,/,/,/,,,,,,,RR,1.96,1.04,3.68,,,,,,,,,EPHPP,Strong,Moderate,Moderate,Strong,Strong,Yes,Strong,YN,HZ,
NUECHTERLEIN_001,Nuechterlein,2020,USA,North America,RCT,Outpatient,FES,SCID,69,67,24.6,4,18,7_18,proportion,employment,Competitive employment,Competitive employment during at least part of the 7_18 month period,period,30,51,p.8 Figure 4,,,,,,,,,,,,,,,,,proportion,0.588,,,,,,,,,,,,,,,,,,,,,EPHPP,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,YN,HZ,
NUECHTERLEIN_002,Nuechterlein,2020,USA,North America,RCT,Outpatient,FES,SCID,69,67,24.6,4,18,7_18,trial_binary,employment,Competitive employment,Competitive employment during at least part of the 7_18 month period,period,,,,25,36,5,15,IPS + WFM,BVR + social skills training,,,,,,,,,,,/,/,,,0.02,,,,,,RR,2.08,1.19,3.64,,,,,,,,,EPHPP,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,YN,HZ,
POTHIER_001,Pothier,2019,Canada,North America,Cohort,Outpatient,FEP,DSM-IV,27,81.5,24.9,4.9,6,6,proportion,employment,Competitive employment,Full-time competitive occupation at 6-month follow-up,point,11,27,p.4 Results; Table 2,,,,,,,,,,,,,,,,,proportion,0.407,,,,,,,,,,,,,,,,,,,24.5 month,p.4 Table 2,EPHPP,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,YN,HZ,
RINALDI_001,Rinaldi,2004,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,40,72,21,/,12,12,proportion,employment,Open employment,Competitive open employment at 12-month follow-up,point,9,22,p.3 Table 2,,,,,,,,,,,,,,,,,proportion,0.409,,,,,,,,,,,,,88,,,,12,p.2 Table 1,,,EPHPP ,Moderate,Weak,Weak,Moderate,Strong,Yes,Weak,YN,HZ,
RINALDI_001,Rinaldi,2010,UK,Europe,Cohort,Outpatient,FEP,Clinical diagnosis,166,69,22,3.24,24,12,proportion,employment,Open employment,Competitive open employment at 12-month follow-up,point,62,142,p.5 Table II,,,,,,,,,,,,,,,,,proportion,0.437,,,,,,,,,,,,,96,,,,4,p.4 Table I,,,EPHPP,Moderate,Weak,Weak,Moderate,Weak,Yes,Weak,YN,HZ,
ROSENHECK_001,Rosenheck,2017,USA,North America,Cohort,Outpatient,FEP,Clinical diagnosis,404,72.5,23,/,24,6,proportion,employment,Any participation in work,Any paid employment at 12-month follow-up,point,71,315,p.5 Results; p.6 Table 1,,,,,,,,,,,,,,,,,proportion,0.225,,,,,,,,,,,,,,,,,,,,,EPHPP ,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,YN,HZ,
ROSENHECK_002,Rosenheck,2017,USA,North America,Cohort,Outpatient,FEP,Clinical diagnosis,404,72.5,23,/,24,6,trial_binary,employment,Any participation in work,Any paid employment at 24-month follow-up,point,,,,38,182,33,133,NAVIGATE,Community Care,,,,,,,,,,,/,/,,,0.16,,,,,,RR,0.84,0.56,1.27,,,,,,,,,EPHPP ,Moderate,Strong,Strong,Strong,Moderate,Yes,Strong,YN,HZ,
TAPFUMANEYI_001,Tapfumaneyi,2014,UK,Europe,Cohort,Outpatient,FEP,ICD-10,1013,65.3,23.3 ,4.84,12,0_12,proportion,employment,Paid employment,Engaged in paid work£¨full or part-time£©at any point during the 1-year follow-up period,period,211,1013,p.4 Results,,,,,,,,,,,,,,,,,proportion,0.208,,,,,,,,,,,,,69.4,,8.9,8,13.7,p.4 Results,83days,p.4 Results,EPHPP,Moderate,Weak,Moderate,Strong,Strong,Yes,Moderate,YN,HZ,
